path1,path2,path3,gt_path,x-coordinate,y-coordinate,status,visibility
images/game10/Clip12/0456.jpg,images/game10/Clip12/0455.jpg,images/game10/Clip12/0454.jpg,gts/game10/Clip12/0456.jpg,692.0,287.0,0.0,1
images/game9/Clip3/0169.jpg,images/game9/Clip3/0168.jpg,images/game9/Clip3/0167.jpg,gts/game9/Clip3/0169.jpg,511.0,205.0,0.0,1
images/game6/Clip2/0412.jpg,images/game6/Clip2/0411.jpg,images/game6/Clip2/0410.jpg,gts/game6/Clip2/0412.jpg,558.0,249.0,0.0,1
images/game8/Clip7/0276.jpg,images/game8/Clip7/0275.jpg,images/game8/Clip7/0274.jpg,gts/game8/Clip7/0276.jpg,924.0,450.0,0.0,1
images/game1/Clip10/0021.jpg,images/game1/Clip10/0020.jpg,images/game1/Clip10/0019.jpg,gts/game1/Clip10/0021.jpg,598.0,35.0,0.0,2
images/game8/Clip4/0042.jpg,images/game8/Clip4/0041.jpg,images/game8/Clip4/0040.jpg,gts/game8/Clip4/0042.jpg,517.0,230.0,0.0,1
images/game10/Clip8/0033.jpg,images/game10/Clip8/0032.jpg,images/game10/Clip8/0031.jpg,gts/game10/Clip8/0033.jpg,674.0,215.0,0.0,1
images/game4/Clip1/0485.jpg,images/game4/Clip1/0484.jpg,images/game4/Clip1/0483.jpg,gts/game4/Clip1/0485.jpg,746.0,124.0,0.0,1
images/game10/Clip5/0063.jpg,images/game10/Clip5/0062.jpg,images/game10/Clip5/0061.jpg,gts/game10/Clip5/0063.jpg,707.0,310.0,0.0,1
images/game4/Clip7/0065.jpg,images/game4/Clip7/0064.jpg,images/game4/Clip7/0063.jpg,gts/game4/Clip7/0065.jpg,710.0,151.0,0.0,1
images/game8/Clip9/0061.jpg,images/game8/Clip9/0060.jpg,images/game8/Clip9/0059.jpg,gts/game8/Clip9/0061.jpg,536.0,325.0,0.0,2
images/game4/Clip1/0076.jpg,images/game4/Clip1/0075.jpg,images/game4/Clip1/0074.jpg,gts/game4/Clip1/0076.jpg,713.0,174.0,0.0,2
images/game4/Clip7/0392.jpg,images/game4/Clip7/0391.jpg,images/game4/Clip7/0390.jpg,gts/game4/Clip7/0392.jpg,552.0,144.0,0.0,1
images/game2/Clip2/0163.jpg,images/game2/Clip2/0162.jpg,images/game2/Clip2/0161.jpg,gts/game2/Clip2/0163.jpg,846.0,246.0,0.0,1
images/game10/Clip10/0109.jpg,images/game10/Clip10/0108.jpg,images/game10/Clip10/0107.jpg,gts/game10/Clip10/0109.jpg,474.0,438.0,0.0,1
images/game3/Clip4/0372.jpg,images/game3/Clip4/0371.jpg,images/game3/Clip4/0370.jpg,gts/game3/Clip4/0372.jpg,538.0,105.0,0.0,1
images/game7/Clip4/0022.jpg,images/game7/Clip4/0021.jpg,images/game7/Clip4/0020.jpg,gts/game7/Clip4/0022.jpg,582.0,516.0,0.0,3
images/game3/Clip3/0318.jpg,images/game3/Clip3/0317.jpg,images/game3/Clip3/0316.jpg,gts/game3/Clip3/0318.jpg,711.0,4.0,0.0,1
images/game10/Clip6/0286.jpg,images/game10/Clip6/0285.jpg,images/game10/Clip6/0284.jpg,gts/game10/Clip6/0286.jpg,563.0,112.0,0.0,1
images/game2/Clip5/0155.jpg,images/game2/Clip5/0154.jpg,images/game2/Clip5/0153.jpg,gts/game2/Clip5/0155.jpg,466.0,164.0,0.0,1
images/game7/Clip4/0525.jpg,images/game7/Clip4/0524.jpg,images/game7/Clip4/0523.jpg,gts/game7/Clip4/0525.jpg,777.0,61.0,1.0,1
images/game4/Clip1/0422.jpg,images/game4/Clip1/0421.jpg,images/game4/Clip1/0420.jpg,gts/game4/Clip1/0422.jpg,770.0,113.0,1.0,1
images/game6/Clip2/0197.jpg,images/game6/Clip2/0196.jpg,images/game6/Clip2/0195.jpg,gts/game6/Clip2/0197.jpg,764.0,195.0,0.0,1
images/game8/Clip7/0111.jpg,images/game8/Clip7/0110.jpg,images/game8/Clip7/0109.jpg,gts/game8/Clip7/0111.jpg,785.0,427.0,0.0,1
images/game9/Clip6/0030.jpg,images/game9/Clip6/0029.jpg,images/game9/Clip6/0028.jpg,gts/game9/Clip6/0030.jpg,454.0,184.0,0.0,1
images/game8/Clip7/0064.jpg,images/game8/Clip7/0063.jpg,images/game8/Clip7/0062.jpg,gts/game8/Clip7/0064.jpg,625.0,352.0,0.0,1
images/game9/Clip7/0052.jpg,images/game9/Clip7/0051.jpg,images/game9/Clip7/0050.jpg,gts/game9/Clip7/0052.jpg,916.0,404.0,0.0,1
images/game7/Clip4/0777.jpg,images/game7/Clip4/0776.jpg,images/game7/Clip4/0775.jpg,gts/game7/Clip4/0777.jpg,,,,0
images/game7/Clip5/0124.jpg,images/game7/Clip5/0123.jpg,images/game7/Clip5/0122.jpg,gts/game7/Clip5/0124.jpg,705.0,38.0,0.0,1
images/game7/Clip4/0761.jpg,images/game7/Clip4/0760.jpg,images/game7/Clip4/0759.jpg,gts/game7/Clip4/0761.jpg,798.0,197.0,0.0,1
images/game7/Clip4/0620.jpg,images/game7/Clip4/0619.jpg,images/game7/Clip4/0618.jpg,gts/game7/Clip4/0620.jpg,849.0,376.0,0.0,1
images/game4/Clip7/0459.jpg,images/game4/Clip7/0458.jpg,images/game4/Clip7/0457.jpg,gts/game4/Clip7/0459.jpg,818.0,143.0,0.0,1
images/game1/Clip13/0143.jpg,images/game1/Clip13/0142.jpg,images/game1/Clip13/0141.jpg,gts/game1/Clip13/0143.jpg,772.0,214.0,0.0,1
images/game4/Clip2/0234.jpg,images/game4/Clip2/0233.jpg,images/game4/Clip2/0232.jpg,gts/game4/Clip2/0234.jpg,826.0,117.0,0.0,1
images/game10/Clip12/0096.jpg,images/game10/Clip12/0095.jpg,images/game10/Clip12/0094.jpg,gts/game10/Clip12/0096.jpg,725.0,155.0,0.0,1
images/game2/Clip6/0221.jpg,images/game2/Clip6/0220.jpg,images/game2/Clip6/0219.jpg,gts/game2/Clip6/0221.jpg,521.0,221.0,0.0,1
images/game4/Clip1/0523.jpg,images/game4/Clip1/0522.jpg,images/game4/Clip1/0521.jpg,gts/game4/Clip1/0523.jpg,295.0,354.0,0.0,1
images/game8/Clip5/0036.jpg,images/game8/Clip5/0035.jpg,images/game8/Clip5/0034.jpg,gts/game8/Clip5/0036.jpg,788.0,322.0,2.0,1
images/game4/Clip7/0408.jpg,images/game4/Clip7/0407.jpg,images/game4/Clip7/0406.jpg,gts/game4/Clip7/0408.jpg,492.0,101.0,0.0,1
images/game1/Clip5/0036.jpg,images/game1/Clip5/0035.jpg,images/game1/Clip5/0034.jpg,gts/game1/Clip5/0036.jpg,666.0,150.0,0.0,1
images/game4/Clip2/0340.jpg,images/game4/Clip2/0339.jpg,images/game4/Clip2/0338.jpg,gts/game4/Clip2/0340.jpg,677.0,96.0,0.0,1
images/game10/Clip3/0153.jpg,images/game10/Clip3/0152.jpg,images/game10/Clip3/0151.jpg,gts/game10/Clip3/0153.jpg,615.0,247.0,0.0,1
images/game10/Clip5/0058.jpg,images/game10/Clip5/0057.jpg,images/game10/Clip5/0056.jpg,gts/game10/Clip5/0058.jpg,705.0,292.0,0.0,1
images/game9/Clip3/0229.jpg,images/game9/Clip3/0228.jpg,images/game9/Clip3/0227.jpg,gts/game9/Clip3/0229.jpg,863.0,200.0,0.0,1
images/game5/Clip13/0019.jpg,images/game5/Clip13/0018.jpg,images/game5/Clip13/0017.jpg,gts/game5/Clip13/0019.jpg,456.0,164.0,0.0,1
images/game2/Clip1/0053.jpg,images/game2/Clip1/0052.jpg,images/game2/Clip1/0051.jpg,gts/game2/Clip1/0053.jpg,675.0,61.0,0.0,1
images/game9/Clip3/0260.jpg,images/game9/Clip3/0259.jpg,images/game9/Clip3/0258.jpg,gts/game9/Clip3/0260.jpg,712.0,74.0,0.0,1
images/game3/Clip6/0088.jpg,images/game3/Clip6/0087.jpg,images/game3/Clip6/0086.jpg,gts/game3/Clip6/0088.jpg,815.0,340.0,0.0,1
images/game8/Clip2/0073.jpg,images/game8/Clip2/0072.jpg,images/game8/Clip2/0071.jpg,gts/game8/Clip2/0073.jpg,438.0,497.0,0.0,1
images/game3/Clip4/0269.jpg,images/game3/Clip4/0268.jpg,images/game3/Clip4/0267.jpg,gts/game3/Clip4/0269.jpg,517.0,286.0,0.0,1
images/game5/Clip8/0060.jpg,images/game5/Clip8/0059.jpg,images/game5/Clip8/0058.jpg,gts/game5/Clip8/0060.jpg,722.0,52.0,0.0,1
images/game2/Clip2/0085.jpg,images/game2/Clip2/0084.jpg,images/game2/Clip2/0083.jpg,gts/game2/Clip2/0085.jpg,866.0,514.0,0.0,1
images/game7/Clip4/0828.jpg,images/game7/Clip4/0827.jpg,images/game7/Clip4/0826.jpg,gts/game7/Clip4/0828.jpg,415.0,486.0,0.0,1
images/game6/Clip1/0470.jpg,images/game6/Clip1/0469.jpg,images/game6/Clip1/0468.jpg,gts/game6/Clip1/0470.jpg,655.0,258.0,0.0,1
images/game5/Clip9/0166.jpg,images/game5/Clip9/0165.jpg,images/game5/Clip9/0164.jpg,gts/game5/Clip9/0166.jpg,817.0,130.0,0.0,1
images/game6/Clip3/0356.jpg,images/game6/Clip3/0355.jpg,images/game6/Clip3/0354.jpg,gts/game6/Clip3/0356.jpg,1158.0,486.0,0.0,1
images/game5/Clip12/0164.jpg,images/game5/Clip12/0163.jpg,images/game5/Clip12/0162.jpg,gts/game5/Clip12/0164.jpg,339.0,348.0,0.0,2
images/game4/Clip2/0434.jpg,images/game4/Clip2/0433.jpg,images/game4/Clip2/0432.jpg,gts/game4/Clip2/0434.jpg,534.0,55.0,0.0,1
images/game10/Clip1/0306.jpg,images/game10/Clip1/0305.jpg,images/game10/Clip1/0304.jpg,gts/game10/Clip1/0306.jpg,561.0,243.0,0.0,1
images/game10/Clip6/0164.jpg,images/game10/Clip6/0163.jpg,images/game10/Clip6/0162.jpg,gts/game10/Clip6/0164.jpg,507.0,544.0,0.0,1
images/game5/Clip4/0101.jpg,images/game5/Clip4/0100.jpg,images/game5/Clip4/0099.jpg,gts/game5/Clip4/0101.jpg,634.0,150.0,0.0,1
images/game4/Clip1/0529.jpg,images/game4/Clip1/0528.jpg,images/game4/Clip1/0527.jpg,gts/game4/Clip1/0529.jpg,163.0,324.0,1.0,1
images/game3/Clip1/0007.jpg,images/game3/Clip1/0006.jpg,images/game3/Clip1/0005.jpg,gts/game3/Clip1/0007.jpg,602.0,54.0,1.0,1
images/game4/Clip7/0347.jpg,images/game4/Clip7/0346.jpg,images/game4/Clip7/0345.jpg,gts/game4/Clip7/0347.jpg,619.0,119.0,0.0,1
images/game10/Clip6/0270.jpg,images/game10/Clip6/0269.jpg,images/game10/Clip6/0268.jpg,gts/game10/Clip6/0270.jpg,525.0,136.0,0.0,1
images/game4/Clip7/0054.jpg,images/game4/Clip7/0053.jpg,images/game4/Clip7/0052.jpg,gts/game4/Clip7/0054.jpg,754.0,144.0,0.0,1
images/game4/Clip5/0010.jpg,images/game4/Clip5/0009.jpg,images/game4/Clip5/0008.jpg,gts/game4/Clip5/0010.jpg,617.0,32.0,0.0,1
images/game5/Clip5/0058.jpg,images/game5/Clip5/0057.jpg,images/game5/Clip5/0056.jpg,gts/game5/Clip5/0058.jpg,769.0,153.0,0.0,1
images/game4/Clip1/0414.jpg,images/game4/Clip1/0413.jpg,images/game4/Clip1/0412.jpg,gts/game4/Clip1/0414.jpg,752.0,139.0,0.0,1
images/game5/Clip4/0136.jpg,images/game5/Clip4/0135.jpg,images/game5/Clip4/0134.jpg,gts/game5/Clip4/0136.jpg,629.0,165.0,0.0,1
images/game6/Clip1/0186.jpg,images/game6/Clip1/0185.jpg,images/game6/Clip1/0184.jpg,gts/game6/Clip1/0186.jpg,636.0,381.0,0.0,1
